course_id;config_id;subpart_id;class_id;class_limit;class_parent2;room_id;room_penalty
1;1;1;1;50;;190;0
1;1;2;2;50;1;190;0
2;2;3;3;50;;71;6
2;2;3;3;50;;69;0
2;2;3;3;50;;201;10
2;2;3;3;50;;202;6
2;2;3;3;50;;214;10
2;2;3;3;50;;209;10
2;2;3;3;50;;210;10
2;2;3;3;50;;211;10
2;2;3;3;50;;212;10
2;2;3;3;50;;213;10
2;2;3;3;50;;102;10
2;2;4;4;50;3;71;6
2;2;4;4;50;3;69;0
2;2;4;4;50;3;201;10
2;2;4;4;50;3;202;6
2;2;4;4;50;3;214;10
2;2;4;4;50;3;209;10
2;2;4;4;50;3;210;10
2;2;4;4;50;3;211;10
2;2;4;4;50;3;212;10
2;2;4;4;50;3;213;10
2;2;4;4;50;3;102;10
3;3;5;5;50;;71;6
3;3;5;5;50;;69;0
3;3;5;5;50;;201;10
3;3;5;5;50;;202;6
3;3;5;5;50;;214;10
3;3;5;5;50;;209;10
3;3;5;5;50;;210;10
3;3;5;5;50;;211;10
3;3;5;5;50;;212;10
3;3;5;5;50;;213;10
3;3;5;5;50;;102;10
4;4;6;6;50;;71;0
4;4;6;6;50;;69;14
4;4;6;6;50;;201;14
4;4;6;6;50;;202;10
4;4;6;6;50;;214;14
4;4;6;6;50;;209;14
4;4;6;6;50;;210;14
4;4;6;6;50;;211;14
4;4;6;6;50;;212;14
4;4;6;6;50;;213;14
4;4;6;6;50;;102;14
4;4;7;7;50;6;71;0
4;4;7;7;50;6;69;14
4;4;7;7;50;6;201;14
4;4;7;7;50;6;202;10
4;4;7;7;50;6;214;14
4;4;7;7;50;6;209;14
4;4;7;7;50;6;210;14
4;4;7;7;50;6;211;14
4;4;7;7;50;6;212;14
4;4;7;7;50;6;213;14
4;4;7;7;50;6;102;14
5;5;8;8;50;;71;6
5;5;8;8;50;;69;0
5;5;8;8;50;;201;10
5;5;8;8;50;;202;6
5;5;8;8;50;;214;10
5;5;8;8;50;;209;10
5;5;8;8;50;;210;10
5;5;8;8;50;;211;10
5;5;8;8;50;;212;10
5;5;8;8;50;;213;10
5;5;8;8;50;;102;10
5;5;9;9;50;8;71;6
5;5;9;9;50;8;69;0
5;5;9;9;50;8;201;10
5;5;9;9;50;8;202;6
5;5;9;9;50;8;214;10
5;5;9;9;50;8;209;10
5;5;9;9;50;8;210;10
5;5;9;9;50;8;211;10
5;5;9;9;50;8;212;10
5;5;9;9;50;8;213;10
5;5;9;9;50;8;102;10
6;6;10;10;50;;71;6
6;6;10;10;50;;69;0
6;6;10;10;50;;201;10
6;6;10;10;50;;202;6
6;6;10;10;50;;214;10
6;6;10;10;50;;209;10
6;6;10;10;50;;210;10
6;6;10;10;50;;211;10
6;6;10;10;50;;212;10
6;6;10;10;50;;213;10
6;6;10;10;50;;102;10
6;6;11;11;50;10;71;6
6;6;11;11;50;10;69;0
6;6;11;11;50;10;201;10
6;6;11;11;50;10;202;6
6;6;11;11;50;10;214;10
6;6;11;11;50;10;209;10
6;6;11;11;50;10;210;10
6;6;11;11;50;10;211;10
6;6;11;11;50;10;212;10
6;6;11;11;50;10;213;10
6;6;11;11;50;10;102;10
7;7;12;12;25;;97;0
7;7;12;12;25;;138;0
7;7;12;12;25;;135;0
7;7;12;12;25;;134;0
7;7;12;12;25;;100;0
7;7;13;14;25;12;97;0
7;7;13;14;25;12;138;0
7;7;13;14;25;12;135;0
7;7;13;14;25;12;134;0
7;7;13;14;25;12;100;0
7;7;14;16;25;14;97;0
7;7;14;16;25;14;138;0
7;7;14;16;25;14;135;0
7;7;14;16;25;14;134;0
7;7;14;16;25;14;100;0
13;13;30;48;30;;68;36
13;13;30;48;30;;56;40
13;13;30;48;30;;18;37
13;13;30;48;30;;20;40
13;13;30;48;30;;55;36
13;13;30;48;30;;54;36
13;13;30;48;30;;70;40
13;13;30;48;30;;67;40
