course_id,config_id,subpart_id,class_id,class_limit,class_room,class_parent,room_id,room_penalty
1,1,1,50,0,,,190,0
1,2,2,50,0,,1.0,190,0
2,3,3,50,0,,,71,6
2,3,3,50,0,,,69,0
2,3,3,50,0,,,201,10
2,3,3,50,0,,,202,6
2,3,3,50,0,,,214,10
2,3,3,50,0,,,209,10
2,3,3,50,0,,,210,10
2,3,3,50,0,,,211,10
2,3,3,50,0,,,212,10
2,3,3,50,0,,,213,10
2,3,3,50,0,,,102,10
2,4,4,50,0,,3.0,71,6
2,4,4,50,0,,3.0,69,0
2,4,4,50,0,,3.0,201,10
2,4,4,50,0,,3.0,202,6
2,4,4,50,0,,3.0,214,10
2,4,4,50,0,,3.0,209,10
2,4,4,50,0,,3.0,210,10
2,4,4,50,0,,3.0,211,10
2,4,4,50,0,,3.0,212,10
2,4,4,50,0,,3.0,213,10
2,4,4,50,0,,3.0,102,10
3,5,5,50,0,,,71,6
3,5,5,50,0,,,69,0
3,5,5,50,0,,,201,10
3,5,5,50,0,,,202,6
3,5,5,50,0,,,214,10
3,5,5,50,0,,,209,10
3,5,5,50,0,,,210,10
3,5,5,50,0,,,211,10
3,5,5,50,0,,,212,10
3,5,5,50,0,,,213,10
3,5,5,50,0,,,102,10
4,6,6,50,0,,,71,0
4,6,6,50,0,,,69,14
4,6,6,50,0,,,201,14
4,6,6,50,0,,,202,10
4,6,6,50,0,,,214,14
4,6,6,50,0,,,209,14
4,6,6,50,0,,,210,14
4,6,6,50,0,,,211,14
4,6,6,50,0,,,212,14
4,6,6,50,0,,,213,14
4,6,6,50,0,,,102,14
4,7,7,50,0,,6.0,71,0
4,7,7,50,0,,6.0,69,14
4,7,7,50,0,,6.0,201,14
4,7,7,50,0,,6.0,202,10
4,7,7,50,0,,6.0,214,14
4,7,7,50,0,,6.0,209,14
4,7,7,50,0,,6.0,210,14
4,7,7,50,0,,6.0,211,14
4,7,7,50,0,,6.0,212,14
4,7,7,50,0,,6.0,213,14
4,7,7,50,0,,6.0,102,14
5,8,8,50,0,,,71,6
5,8,8,50,0,,,69,0
5,8,8,50,0,,,201,10
5,8,8,50,0,,,202,6
5,8,8,50,0,,,214,10
5,8,8,50,0,,,209,10
5,8,8,50,0,,,210,10
5,8,8,50,0,,,211,10
5,8,8,50,0,,,212,10
5,8,8,50,0,,,213,10
5,8,8,50,0,,,102,10
5,9,9,50,0,,8.0,71,6
5,9,9,50,0,,8.0,69,0
5,9,9,50,0,,8.0,201,10
5,9,9,50,0,,8.0,202,6
5,9,9,50,0,,8.0,214,10
5,9,9,50,0,,8.0,209,10
5,9,9,50,0,,8.0,210,10
5,9,9,50,0,,8.0,211,10
5,9,9,50,0,,8.0,212,10
5,9,9,50,0,,8.0,213,10
5,9,9,50,0,,8.0,102,10
6,10,10,50,0,,,71,6
6,10,10,50,0,,,69,0
6,10,10,50,0,,,201,10
6,10,10,50,0,,,202,6
6,10,10,50,0,,,214,10
6,10,10,50,0,,,209,10
6,10,10,50,0,,,210,10
6,10,10,50,0,,,211,10
6,10,10,50,0,,,212,10
6,10,10,50,0,,,213,10
6,10,10,50,0,,,102,10
6,11,11,50,0,,10.0,71,6
6,11,11,50,0,,10.0,69,0
6,11,11,50,0,,10.0,201,10
6,11,11,50,0,,10.0,202,6
6,11,11,50,0,,10.0,214,10
6,11,11,50,0,,10.0,209,10
6,11,11,50,0,,10.0,210,10
6,11,11,50,0,,10.0,211,10
6,11,11,50,0,,10.0,212,10
6,11,11,50,0,,10.0,213,10
6,11,11,50,0,,10.0,102,10
7,12,12,25,0,,,97,0
7,12,12,25,0,,,138,0
7,12,12,25,0,,,135,0
7,12,12,25,0,,,134,0
7,12,12,25,0,,,100,0
7,13,14,25,0,,12.0,97,0
7,13,14,25,0,,12.0,138,0
7,13,14,25,0,,12.0,135,0
7,13,14,25,0,,12.0,134,0
7,13,14,25,0,,12.0,100,0
7,14,16,25,0,,14.0,97,0
7,14,16,25,0,,14.0,138,0
7,14,16,25,0,,14.0,135,0
7,14,16,25,0,,14.0,134,0
7,14,16,25,0,,14.0,100,0
13,30,48,30,0,,,68,36
13,30,48,30,0,,,56,40
13,30,48,30,0,,,18,37
13,30,48,30,0,,,20,40
13,30,48,30,0,,,55,36
13,30,48,30,0,,,54,36
13,30,48,30,0,,,70,40
13,30,48,30,0,,,67,40
13,30,48,30,0,,,201,40
13,30,48,30,0,,,53,40
13,30,48,30,0,,,52,0
13,30,48,30,0,,,57,0
13,30,48,30,0,,,19,0
13,30,48,30,0,,,51,36
13,30,48,30,0,,,32,36
13,30,48,30,0,,,8,40
13,30,48,30,0,,,30,40
13,30,48,30,0,,,26,40
13,30,48,30,0,,,16,40
13,30,48,30,0,,,17,40
13,30,48,30,0,,,15,40
13,30,48,30,0,,,22,36
13,30,48,30,0,,,27,40
13,30,48,30,0,,,14,40
13,30,48,30,0,,,25,40
13,30,48,30,0,,,7,40
13,30,48,30,0,,,23,40
13,30,48,30,0,,,24,40
13,30,48,30,0,,,3,40
