course_id;config_id;subpart_id;class_id;class_limit;class_room;class_parent;class_days;class_start;class_length;class_weeks;class_penalty
1;1;1;1;20;;;10000;120;22;1,11111E+12;0
2;2;2;2;30;;;100;96;22;1,11111E+12;0
2;2;2;3;30;;;100;144;22;1,11111E+12;0
3;3;3;4;20;;;1000000;96;46;1,11111E+12;0
3;3;3;4;20;;;100;96;46;1,11111E+12;0
3;3;3;4;20;;;1000000;108;46;1,11111E+12;0
3;3;3;4;20;;;100;108;46;1,11111E+12;0
3;3;3;4;20;;;1000000;120;46;1,11111E+12;0
3;3;3;4;20;;;100;120;46;1,11111E+12;0
3;3;3;4;20;;;1000000;132;46;1,11111E+12;0
3;3;3;4;20;;;100;132;46;1,11111E+12;2
3;3;3;4;20;;;1000000;144;46;1,11111E+12;0
3;3;3;4;20;;;100;144;46;1,11111E+12;2
3;3;3;4;20;;;1000000;156;46;1,11111E+12;0
3;3;3;4;20;;;100;156;46;1,11111E+12;2
3;3;3;4;20;;;1000000;168;46;1,11111E+12;0
3;3;3;4;20;;;100;168;46;1,11111E+12;2
3;3;3;4;20;;;1000000;180;46;1,11111E+12;2
3;3;3;4;20;;;100;180;46;1,11111E+12;2
3;3;3;4;20;;;1000000;192;46;1,11111E+12;2
3;3;3;4;20;;;100;192;46;1,11111E+12;2
4;4;4;5;200;;;10000;120;22;1,11111E+12;0
4;4;5;6;25;;;1000;96;22;1,0101E+12;0
4;4;5;6;25;;;1000;120;22;1,0101E+12;0
4;4;5;6;25;;;1000;144;22;1,0101E+12;0
4;4;5;7;25;;;1000;96;22;1,0101E+11;0
4;4;5;7;25;;;1000;120;22;1,0101E+11;0
4;4;5;7;25;;;1000;144;22;1,0101E+11;0
4;4;5;8;25;;;1000000;120;22;1,0101E+12;0
4;4;5;8;25;;;100000;120;22;1,0101E+12;0
4;4;5;8;25;;;10000;120;22;1,0101E+12;0
4;4;5;8;25;;;1000;120;22;1,0101E+12;0
4;4;5;8;25;;;100;120;22;1,0101E+12;0
4;4;5;8;25;;;100000;144;22;1,0101E+12;0
4;4;5;8;25;;;10000;144;22;1,0101E+12;0
4;4;5;8;25;;;1000;144;22;1,0101E+12;0
4;4;5;8;25;;;100;144;22;1,0101E+12;0
4;4;5;8;25;;;100000;168;22;1,0101E+12;0
4;4;5;8;25;;;10000;168;22;1,0101E+12;0
4;4;5;8;25;;;1000;168;22;1,0101E+12;0
4;4;5;8;25;;;100;168;22;1,0101E+12;2
4;4;5;9;25;;;1000000;120;22;1,0101E+11;0
4;4;5;9;25;;;100000;120;22;1,0101E+11;0
4;4;5;9;25;;;10000;120;22;1,0101E+11;0
4;4;5;9;25;;;1000;120;22;1,0101E+11;0
4;4;5;9;25;;;100;120;22;1,0101E+11;0
4;4;5;9;25;;;100000;144;22;1,0101E+11;0
4;4;5;9;25;;;10000;144;22;1,0101E+11;0
4;4;5;9;25;;;1000;144;22;1,0101E+11;0
4;4;5;9;25;;;100;144;22;1,0101E+11;0
4;4;5;9;25;;;100000;168;22;1,0101E+11;0
4;4;5;9;25;;;10000;168;22;1,0101E+11;0
4;4;5;9;25;;;1000;168;22;1,0101E+11;0
4;4;5;9;25;;;100;168;22;1,0101E+11;2
4;4;5;10;25;;;1000000;96;22;1,0101E+12;16
4;4;5;10;25;;;100000;96;22;1,0101E+12;16
4;4;5;10;25;;;10000;96;22;1,0101E+12;16
4;4;5;10;25;;;1000;96;22;1,0101E+12;16
4;4;5;10;25;;;100;96;22;1,0101E+12;16
4;4;5;10;25;;;1000000;120;22;1,0101E+12;0
4;4;5;10;25;;;100000;120;22;1,0101E+12;0
4;4;5;10;25;;;10000;120;22;1,0101E+12;0
4;4;5;10;25;;;1000;120;22;1,0101E+12;0
4;4;5;10;25;;;100;120;22;1,0101E+12;0
4;4;5;10;25;;;1000000;144;22;1,0101E+12;0
